File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
hw_config.o,68.424568%,6150,826,824,0,2,6148
startup_stm32f10x_hd.o,17.089453%,1536,368,64,304,0,1536
lcd.o,7.231865%,650,10470,1840,8620,10,640
usb_prop.o,1.624388%,146,666,520,0,146,0
c_w.l,1.068091%,96,7663,7112,551,0,96
libspace.o,1.068091%,96,8,8,0,0,96
usb_istr.o,0.756564%,68,424,356,0,68,0
usb_endp.o,0.756564%,68,284,280,0,4,64
usb_pwr.o,0.500668%,45,385,372,0,13,32
usb_init.o,0.478416%,43,55,40,0,15,28
usb_desc.o,0.289275%,26,203,0,177,26,0
system_stm32f10x.o,0.222519%,20,392,372,0,20,0
stm32f10x_rcc.o,0.222519%,20,776,756,0,20,0
usart.o,0.133511%,12,464,452,0,12,0
usb_int.o,0.044504%,4,552,548,0,4,0
usb_core.o,0.044504%,4,2140,2136,0,4,0
delay.o,0.044504%,4,156,152,0,4,0
